Resto,Punta,Valle,RPV
2388,1676,2235,6299
10617,4115,3505,18237
16713,6198,3505,26416
18705,7061,4293,30059
24526,8585,4394,37505
26111,8738,4521,39370
24892,5893,5029,35814
12446,3200,3505,19151
28143,6248,4267,38658
27823,6492,4679,38994
27523,6751,4719,38993
25679,6518,4420,36617
4115,2489,3048,9652
13970,3302,3404,20676
24435,6147,4826,35408
20828,5994,4724,31546
29007,7214,4978,41199
29210,7468,5486,42164
22809,5893,4877,33579
17831,4826,4572,27229
27635,7112,5283,40030
25451,6858,5639,37948
26568,6604,5182,38354
23724,6045,4775,34544
4216,2997,3708,10921
14529,3658,4064,22251
25857,5994,4216,36067
30582,7163,4521,42266
20269,5182,3810,29261
25969,6766,5467,38202
11582,2489,2184,16255
16815,3912,3708,24435
26543,5121,3007,34671
23358,4775,3221,31354
21219,4735,3018,28972
22301,4928,2794,30023
4470,1981,2337,8788
12649,2845,2591,18085
24028,5588,3251,32867
21082,4928,3150,29160
25451,5690,3200,34341
26924,5334,3454,35712
22047,4318,3200,29565
16510,3810,3150,23470
24384,5385,3353,33122
26213,5639,3302,35154
25095,5486,3404,33985
23012,4877,3404,31293
6096,2235,2591,10922
14580,3099,2946,20625
25044,5690,3505,34239
21641,5486,3200,30327
27127,6553,3353,37033
28550,6756,3505,38811
24841,5385,3658,33884
19558,4521,3556,27635
31140,6299,3658,41097
29616,6655,3810,40081
29667,6452,3556,39675
26518,5791,3454,35763
6452,2540,2794,11786
13360,3150,2896,19406
24079,5690,3556,33325
31166,7178,3637,41981
20853,5522,3475,29850
27991,6807,3556,38354
25044,6401,3759,35204
17780,4420,3658,25858
28870,5776,3866,38512
29906,7280,3907,41093
28346,6147,3708,38201
25400,5639,3861,34900
5893,2388,2743,11024
12243,3200,3150,18593
23165,5588,3353,32106
22301,5639,3454,31394
30587,7203,3861,41651
31237,6462,3861,41560
26365,5588,3962,35915
17272,4420,4064,25756
